11.59745582,6.652488139,17.62813284,46.38982327
15.45117732,9.64923479,23.48578952,61.80470927
19.30489882,12.79730888,29.3434462,77.21959528
23.15862032,16.05887855,35.20110289,92.63448128
27.01234182,19.41502787,41.05875957,108.0493673
30.86606332,22.80900905,46.91641625,123.4642533
34.71978482,26.07057872,52.77407293,138.8791393
38.57350632,29.2754006,58.63172961,154.2940253
42.42722782,32.36672691,64.48938629,169.7089113
46.28094933,35.36347356,70.34704297,185.1237973
50.13467083,38.14426334,76.20469966,200.5386833
53.98839233,41.45154651,82.06235634,215.9535693
57.84211383,44.48612502,87.92001302,231.3684553
61.69583533,47.48917698,93.7776697,246.7833413
65.54955683,50.30180858,99.63532638,262.1982273
69.40327833,53.34395346,105.4929831,277.6131133
73.25699983,56.32178418,111.3506397,293.0279993
77.11072133,59.28069897,117.2082964,308.4428853
80.96444283,62.25852969,123.0659531,323.8577713
84.81816433,65.1606967,128.9236098,339.2726573
88.67188584,68.08177963,134.7812665,354.6875433
92.52560734,70.98394663,140.6389232,370.1024293
96.37932884,73.90502956,146.4965798,385.5173153
100.2330503,76.75044877,152.3542365,400.9322014
104.0867718,79.72827949,158.2118932,416.3470874
107.9404933,82.5736987,164.0695499,431.7619734
111.7942148,85.45694977,169.9272066,447.1768594
115.6479363,88.35911677,175.7848632,462.5917454
119.5016578,91.24236784,181.6425199,478.0066314
123.3553793,94.1823667,187.5001766,493.4215174
127.2091008,97.16019743,193.3578333,508.8364034
131.0628223,99.94886885,199.21549,524.2512894
134.9165438,102.8321199,205.0731466,539.6661754
138.7702653,105.8099506,210.9308033,555.0810614
142.6239868,108.7121176,216.78846,570.4959474
146.4777083,111.5953687,222.6461167,585.9108334
150.3314299,114.4407879,228.5037734,601.3257194
152.3633921,116.6875569,231.592356,609.4535684
155.5865046,118.3415406,236.491487,622.3460185
159.4402261,121.130212,242.3491437,637.7609045
163.2939476,123.7864719,248.2068004,653.1757905
167.1476691,126.4049,254.0644571,668.5906765
171.0013906,128.9665802,259.9221138,684.0055625
174.8551121,131.5093446,265.7797704,699.4204485
178.7088336,134.0710248,271.6374271,714.8353345
182.5625551,136.5002936,277.4950838,730.2502205
186.4162766,138.9673942,283.3527405,745.6651065
190.2699981,141.4155789,289.2103972,761.0799925
194.1237196,143.750268,295.0680538,776.4948785
197.7522236,146.4337622,300.5833799,791.0088946
201.8311626,148.8468309,306.7833672,807.3246505
205.6848841,151.3369579,312.6410239,822.7395365
209.5815128,153.7508819,318.5638995,838.3260514
213.3923271,156.1046869,324.3563372,853.5693086
217.2460486,158.6096194,330.2139939,868.9841946
221.0997701,161.0010563,336.0716506,884.3990806
224.9534916,163.449241,341.9293073,899.8139666
228.8072131,165.802846,347.786964,915.2288526
232.6609346,168.3456104,353.6446207,930.6437386
236.5146561,170.7181313,359.5022773,946.0586246
240.3683776,173.0717363,365.359934,961.4735106
244.2220991,175.3496777,371.2175907,976.8883966
248.0758206,177.6465349,377.0752474,992.3032826
251.9295421,179.9055603,382.9329041,1007.718169
255.7832636,182.0889219,388.7905607,1023.133055
259.6369851,184.2722836,394.6482174,1038.547941
263.4907066,186.3799815,400.5058741,1053.962827
267.3444282,188.4876795,406.3635308,1069.377713
271.1981497,190.5007978,412.2211875,1084.792599
275.0518712,192.4382523,418.0788442,1100.207485
278.9055927,194.356791,423.9365008,1115.622371
282.5646818,195.8618307,429.4983163,1130.258727
286.6130357,198.331324,435.6518142,1146.452143
290.4667572,199.6016768,441.5094709,1161.867029
294.3204787,201.0284013,447.3671276,1177.281915
298.1742002,202.644285,453.2247842,1192.696801
302.0279217,204.1655891,459.0824409,1208.111687
305.8816432,205.5733977,464.9400976,1223.526573
309.7353647,207.0947018,470.7977543,1238.941459
313.5890862,208.5214262,476.655411,1254.356345
317.4428077,209.9481507,482.5130676,1269.771231
321.2965292,211.412707,488.3707243,1285.186117
325.1502507,212.8394315,494.228381,1300.601003
329.0039722,214.24724,500.0860377,1316.015889
332.8576937,215.5793848,505.9436944,1331.430775
336.7114152,216.8358659,511.8013511,1346.845661
340.5651367,218.0734311,517.6590077,1362.260547
344.4188582,219.2731644,523.5166644,1377.675433
348.2725797,220.4161499,529.3743211,1393.090319
352.1263012,221.6158832,535.2319778,1408.505205
355.9800227,222.7021209,541.0896345,1423.920091
359.1330675,223.6498196,545.8822627,1436.53227
