47.57647648,240.0975904
97.5623859,240.0260958
147.5482953,239.9903485
200.7247947,239.9903485
250.7107041,240.0618431
300.6966135,240.0618431
353.8731129,240.0618431
403.8590223,240.0975904
453.8449318,240.0975904
507.0214312,240.0260958
557.0073406,240.0975904
606.99325,240.1333377
649.3825166,240.0158823
695.5701047,240.0975904
748.4427384,240.0975904
798.8844463,240.0975904
844.464303,240.0567364
894.1463467,240.1333377
944.1322561,240.0975904
994.1181655,240.0618431
1047.294665,240.1333377
1097.280574,240.1333377
1147.266484,240.0260958
1200.442983,240.169085
1250.428893,240.276327
1300.414802,240.2048323
1353.591301,240.2405797
1403.577211,240.276327
1453.56312,240.2405797
1506.73962,240.2048323
1556.725529,240.276327
1607.167237,240.3427148
1657.001214,240.1792986
1708.658384,240.3427148
1760.315555,240.2610067
1803.464486,240.2405797
1851.323336,240.1333377
1901.309245,240.169085
1951.750953,240.1384445
2008.725774,239.9903485
2060.306978,239.9903485
2108.697593,239.7758647
2161.874092,239.7043701
2211.860001,239.5256335
2261.845911,239.4183916
2315.02241,239.346897
2363.792857,239.0762388
2416.057759,238.8392852
2472.070338,238.5962036
2525.955858,238.0719097
2586.931577,237.5237844
2640.817096,237.1901428
2701.792816,236.8088382
2755.678335,236.5228598
2816.654054,236.0938921
2870.539574,235.8079137
2931.515293,235.4266091
2984.408184,235.0643697
3035.523979,234.8059701
3096.802842,234.4477612
3152.753108,234.0895522
3195.381883,234.0895522
3242.066049,233.520086
3295.951569,233.2817707
3356.927288,232.9004661
3410.812807,232.5668245
3471.788527,232.233183
3525.674046,231.8518784
3588.979403,231.4773828
3640.535285,231.0416061
3701.511004,230.5649754
3755.396524,230.1836708
3816.372243,229.6117139
3870.257762,229.1827462
3931.233481,228.5154631
3985.119001,228.2294847
4029.220044,227.6289299
4084.3818,227.133234
4138.267319,226.6566032
4199.243038,225.7986678
4253.128558,225.2267109
4314.104277,224.4164387
4367.989796,223.7014925
4428.965516,222.748231
4482.851035,222.1762741
4543.826754,221.2230126
4597.712274,220.5080665
4658.687993,219.6501311
4712.573512,219.0781742
4773.549232,218.0295866
4827.434751,217.2193143
4890.740107,216.2796708
4942.397278,215.748568
4994.054449,215.0458781
